"ORDER_ID","ORDER_DATE","ORDER_MODE","CUSTOMER_ID","ORDER_STATUS","ORDER_TOTAL","SALES_REP_ID","PROMOTION_ID"
2354,"14-JUL-2008 12:18:23.234567000","direct",104,0,46257,155,
2355,"26-JAN-2006 04:22:51.962632000","online",104,8,94513.5,,
2356,"26-JAN-2008 04:22:41.934562000","online",105,5,29473.8,,
2357,"08-JAN-2006 15:19:44.123456000","direct",108,5,59872.4,158,
2358,"08-JAN-2008 12:03:12.654278000","direct",105,2,7826,155,
2359,"08-JAN-2006 16:34:13.112233000","online",106,9,5543.1,,
2360,"14-NOV-2007 07:22:31.223344000","online",107,4,990.4,,
2361,"13-NOV-2007 08:34:21.986210000","online",108,8,120131.3,,
2362,"13-NOV-2007 09:41:10.619477000","online",109,4,92829.4,,
2363,"23-OCT-2007 11:49:56.346122000","online",144,0,10082.3,,
2364,"28-AUG-2007 12:18:45.942399000","online",145,4,9500,,
2365,"28-AUG-2007 13:03:34.003399000","online",146,9,27455.3,,
2366,"28-AUG-2007 14:59:23.144778000","online",147,5,37319.4,,
2367,"27-JUN-2008 15:53:32.335522000","online",148,10,144054.8,,
2368,"26-JUN-2008 16:19:43.190089000","online",149,10,60065,,
2369,"26-JUN-2007 17:22:54.009932000","online",116,0,11097.4,,
2370,"26-JUN-2008 18:22:11.647398000","online",117,4,126,,
2371,"15-MAY-2007 19:34:56.113356000","online",118,6,79405.6,,
2372,"26-FEB-2007 19:22:33.356789000","online",119,9,16447.2,,
2373,"26-FEB-2008 20:34:51.220065000","online",120,4,416,,
2374,"26-FEB-2008 21:41:45.109654000","online",121,0,4797,,
2375,"25-FEB-2007 22:49:50.459233000","online",122,2,103834.4,,
2376,"07-JUN-2007 00:18:08.883310000","online",123,6,11006.2,,
2377,"07-JUN-2007 01:03:01.001100000","online",141,5,38017.8,,
2378,"24-MAY-2007 02:59:10.010101000","online",142,5,25691.3,,
2379,"15-MAY-2007 20:22:24.234567000","direct",146,8,17848.2,161,
2380,"16-MAY-2007 03:53:02.909090000","online",143,3,27132.6,,
2381,"14-MAY-2008 14:59:08.843679000","direct",106,3,23034.6,156,
2382,"14-MAY-2008 04:19:03.828321000","online",144,8,71173,,
2383,"12-MAY-2008 05:22:30.545103000","online",145,8,36374.7,,
2384,"12-MAY-2008 06:22:34.525972000","online",146,3,29249.1,,
2385,"08-DEC-2007 06:34:11.331392000","online",147,4,295892,,
2386,"06-DEC-2007 07:22:34.225609000","online",148,10,21116.9,,
2387,"11-MAR-2007 09:34:56.536966000","online",149,5,52758.9,,
2388,"04-JUN-2007 10:41:12.554435000","online",150,4,282694.3,,
2389,"04-JUN-2008 11:49:43.546954000","online",151,4,17620,,
2390,"18-NOV-2007 11:18:50.546851000","online",152,9,7616.8,,
2391,"27-FEB-2006 12:03:03.828330000","direct",153,2,48070.6,156,
2392,"21-JUL-2007 14:59:57.571057000","direct",154,9,26632,161,
2393,"10-FEB-2008 14:53:19.528202000","direct",155,4,23431.9,161,
2394,"10-FEB-2008 16:22:35.564789000","direct",109,5,21863,158,
2395,"02-FEB-2006 15:19:11.227550000","direct",156,3,68501,163,
2396,"01-FEB-2006 20:34:56.345678000","direct",147,8,34930,161,
2397,"19-NOV-2007 09:41:54.696211000","direct",102,1,42283.2,154,
2398,"19-NOV-2007 16:22:53.224175000","direct",157,9,7110.3,163,
2399,"19-NOV-2007 17:22:38.340990000","direct",158,0,25270.3,161,
2400,"09-JUL-2007 19:34:29.559387000","direct",159,2,69286.4,161,
2401,"09-JUL-2007 20:22:53.554822000","direct",160,3,969.2,163,
2402,"01-JUL-2007 21:34:44.665170000","direct",161,8,600,154,
2403,"01-JUL-2007 10:49:13.615512000","direct",162,0,220,154,
2404,"01-JUL-2007 10:49:13.664085000","direct",163,6,510,158,
2405,"01-JUL-2007 10:49:13.678123000","direct",164,5,1233,159,
2406,"28-JUN-2007 22:41:20.098765000","direct",148,8,2854.2,161,
2407,"29-JUN-2007 01:03:21.526005000","direct",165,9,2519,155,
2408,"29-JUN-2007 02:59:31.333617000","direct",166,1,309,158,
2409,"29-JUN-2007 03:53:41.984501000","direct",167,2,48,154,
2410,"24-MAY-2008 04:19:51.985501000","direct",168,6,45175,156,
2411,"24-MAY-2007 05:22:10.548639000","direct",169,8,15760.5,156,
2412,"29-MAR-2006 05:22:09.509801000","direct",170,9,66816,158,
2413,"29-MAR-2008 07:34:04.525934000","direct",101,5,48552,161,
2414,"29-MAR-2007 08:22:40.536996000","direct",102,8,10794.6,153,
2415,"29-MAR-2006 08:34:50.545196000","direct",103,6,310,161,
